CowTagID,functional_group,sum_fg,total_pcover,lat,lon,Salinity,Temperature,TA,pH,Phosphate_umolL,Silicate_umolL,NN_umolL,Ammonia_umolL,HIX,VisibleHumidic_Like
V1,Stony Coral,0.4457831325301204,0.9638554216867469,-17.53975298,-149.900506,0.004280378,0.026891257,0.00885529,0.007638312,0.160393455,0.725286398,0.417208438,0.452348333,0.577048955,0.200384621
V1,Macroalgae+Turf,0.5180722891566265,0.9638554216867469,-17.53975298,-149.900506,0.004280378,0.026891257,0.00885529,0.007638312,0.160393455,0.725286398,0.417208438,0.452348333,0.577048955,0.200384621
V10,Stony Coral,0.33333333333333337,0.9411764705882354,-17.54030501,-149.899788,0.003695667,0.033435681,0.008280107,0.006097696,0.215487784,0.649602906,0.701847398,0.315690267,0.356933922,0.17194889
V10,Macroalgae+Turf,0.607843137254902,0.9411764705882354,-17.54030501,-149.899788,0.003695667,0.033435681,0.008280107,0.006097696,0.215487784,0.649602906,0.701847398,0.315690267,0.356933922,0.17194889
V11,Stony Coral,0.18674698795180725,0.8253012048192772,-17.54019303,-149.900068,0.004515392,0.028841074,0.011078583,0.005775206,0.184753293,1.135166729,0.654692722,0.765037913,0.272896916,0.239588283
V11,Macroalgae+Turf,0.6385542168674698,0.8253012048192772,-17.54019303,-149.900068,0.004515392,0.028841074,0.011078583,0.005775206,0.184753293,1.135166729,0.654692722,0.765037913,0.272896916,0.239588283
V12,Stony Coral,0.3379310344827586,0.9379310344827586,-17.54030996,-149.900112,0.003824094,0.028717391,0.006372548,0.005463868,0.235045177,0.802937817,0.652128878,0.650558674,0.288700223,0.26281331
V12,Macroalgae+Turf,0.6,0.9379310344827586,-17.54030996,-149.900112,0.003824094,0.028717391,0.006372548,0.005463868,0.235045177,0.802937817,0.652128878,0.650558674,0.288700223,0.26281331
V14,Stony Coral,0,0.96,-17.54039696,-149.899396,0.002980712,0.032040094,0.010346055,0.007153303,0.199712207,0.273557732,0.474113469,0.455800954,0.484310117,0.207280746
V14,Macroalgae+Turf,0.96,0.96,-17.54039696,-149.899396,0.002980712,0.032040094,0.010346055,0.007153303,0.199712207,0.273557732,0.474113469,0.455800954,0.484310117,0.207280746
V15,Stony Coral,0.28,0.91,-17.54014299,-149.900183,0.003934496,0.032094954,0.008971209,0.006266493,0.227081738,1.043460044,0.631806849,0.949325552,0.368043702,0.122914903
V15,Macroalgae+Turf,0.63,0.91,-17.54014299,-149.900183,0.003934496,0.032094954,0.008971209,0.006266493,0.227081738,1.043460044,0.631806849,0.949325552,0.368043702,0.122914903
V16,Stony Coral,0.44897959183673464,1,-17.54029797,-149.900492,0.002407196,0.030269051,0.006458965,0.00575306,0.183594651,0.260133608,0.585167704,0.572449963,0.432351867,0.36185386
V16,Macroalgae+Turf,0.5510204081632653,1,-17.54029797,-149.900492,0.002407196,0.030269051,0.006458965,0.00575306,0.183594651,0.260133608,0.585167704,0.572449963,0.432351867,0.36185386
V17,Stony Coral,0,0.9545454545454546,-17.54031901,-149.899572,0.008596222,0.032231376,0.007536871,0.005963769,0.269923884,0.658309955,0.605730654,0.19866973,0.406314458,0.162507431
V17,Macroalgae+Turf,0.9545454545454546,0.9545454545454546,-17.54031901,-149.899572,0.008596222,0.032231376,0.007536871,0.005963769,0.269923884,0.658309955,0.605730654,0.19866973,0.406314458,0.162507431
V18,Stony Coral,0.1899441340782123,0.94972067039106145,-17.54019697,-149.899906,0.006291286,0.027548619,0.010257829,0.006380958,0.255342622,1.092256735,0.654987885,1.789953397,0.434493384,0.225748738
V18,Macroalgae+Turf,0.7597765363128491,0.94972067039106145,-17.54019697,-149.899906,0.006291286,0.027548619,0.010257829,0.006380958,0.255342622,1.092256735,0.654987885,1.789953397,0.434493384,0.225748738
V19,Stony Coral,0.3252032520325204,0.983739837398374,-17.54050802,-149.89978,0.003291796,0.033787926,0.008002544,0.006102776,0.22141576600000001,0.223379989,0.609214796,0.862467047,0.265197516,0.278259452
V19,Macroalgae+Turf,0.6585365853658537,0.983739837398374,-17.54050802,-149.89978,0.003291796,0.033787926,0.008002544,0.006102776,0.22141576600000001,0.223379989,0.609214796,0.862467047,0.265197516,0.278259452
V2,Stony Coral,0.2222222222222222,0.8624338624338624,-17.53989003,-149.900519,0.004654418,0.026374806,0.005280704,0.006520559,0.187871116,0.766696386,0.462491118,1.216030116,0.207316513,0.477929916
V2,Macroalgae+Turf,0.6402116402116401,0.8624338624338624,-17.53989003,-149.900519,0.004654418,0.026374806,0.005280704,0.006520559,0.187871116,0.766696386,0.462491118,1.216030116,0.207316513,0.477929916
V20,Stony Coral,0.25,1,-17.54045103,-149.899509,0.003323969,0.030880791,0.007949708,0.00676995,0.220868777,0.27063786,0.546289281,0.421308229,0.308630861,0.18343907
V20,Macroalgae+Turf,0.75,1,-17.54045103,-149.899509,0.003323969,0.030880791,0.007949708,0.00676995,0.220868777,0.27063786,0.546289281,0.421308229,0.308630861,0.18343907
V3,Stony Coral,0.2535211267605634,0.9929577464788732,-17.54012598,-149.90056,0.002797399,0.024259696,0.006246104,0.007362509,0.221385924,0.553684087,0.508915104,0.335637837,0.154283852,0.240684655
V3,Macroalgae+Turf,0.7394366197183098,0.9929577464788732,-17.54012598,-149.90056,0.002797399,0.024259696,0.006246104,0.007362509,0.221385924,0.553684087,0.508915104,0.335637837,0.154283852,0.240684655
V4,Stony Coral,0.2087912087912088,0.978021978021978,-17.54024902,-149.900454,0.002058992,0.027057428,0.006942331,0.005635914,0.256532812,0.585530363,0.728458503,0.696886473,0.253160143,0.383255949
V4,Macroalgae+Turf,0.7692307692307692,0.978021978021978,-17.54024902,-149.900454,0.002058992,0.027057428,0.006942331,0.005635914,0.256532812,0.585530363,0.728458503,0.696886473,0.253160143,0.383255949
V5,Stony Coral,0.3269230769230769,0.9807692307692308,-17.54025003,-149.900336,0.00338596,0.029562872,0.007482307,0.005805769,0.231340795,0.940888739,0.668836605,0.525694465,0.59796458,0.265350329
V5,Macroalgae+Turf,0.6538461538461539,0.9807692307692308,-17.54025003,-149.900336,0.00338596,0.029562872,0.007482307,0.005805769,0.231340795,0.940888739,0.668836605,0.525694465,0.59796458,0.265350329
V6,Stony Coral,0.3125,0.9930555555555556,-17.54002498,-149.900106,0.00268687,0.025770112,0.011212345,0.006708503,0.178047261,0.542764581,0.527042406,0.418890769,0.260686601,0.143632476
V6,Macroalgae+Turf,0.6805555555555556,0.9930555555555556,-17.54002498,-149.900106,0.00268687,0.025770112,0.011212345,0.006708503,0.178047261,0.542764581,0.527042406,0.418890769,0.260686601,0.143632476
V7,Stony Coral,0.1089108910891089,0.9603960396039604,-17.54004803,-149.899985,0.002904863,0.028741324,0.006117397,0.007317307,0.184970817,0.521934046,0.524689381,0.5443913,0.293313358,0.179731436
V7,Macroalgae+Turf,0.8514851485148515,0.9603960396039604,-17.54004803,-149.899985,0.002904863,0.028741324,0.006117397,0.007317307,0.184970817,0.521934046,0.524689381,0.5443913,0.293313358,0.179731436
V8,Stony Coral,0.19753086419753085,0.8086419753086419,-17.54014903,-149.899896,0.005257018,0.030958819,0.006202014,0.006458861,0.193209637,0.96330102,0.746742339,0.479586916,0.403793511,0.242404294
V8,Macroalgae+Turf,0.611111111111111,0.8086419753086419,-17.54014903,-149.899896,0.005257018,0.030958819,0.006202014,0.006458861,0.193209637,0.96330102,0.746742339,0.479586916,0.403793511,0.242404294
V9,Stony Coral,0.6013986013986014,0.9999999999999999,-17.540245,-149.899765,0.002403903,0.029952968,0.007336042,0.006474613,0.232966957,0.368433424,0.566201795,0.406115145,0.277283267,0.080224071
V9,Macroalgae+Turf,0.3986013986013986,0.9999999999999999,-17.540245,-149.899765,0.002403903,0.029952968,0.007336042,0.006474613,0.232966957,0.368433424,0.566201795,0.406115145,0.277283267,0.080224071
